園代碼,園名,學年度,資料表,指標,資料類別,數值,前一年數值,YoY變化額,YoY變化率,歷史均值,歷史標準差,移動平均_近3年,Zscore
N01,安溪,110,收支餘絀表,維護費,收支,105476.0,17192.0,88284.0,5.135179153094462,61334.0,62426.21507027316,61334.0,0.7071067811865476
N01,安溪,111,收支餘絀表,維護費,收支,40666.0,105476.0,-64810.0,-0.6144525768895294,54444.666666666664,45726.413650463925,54444.666666666664,-0.301328391331798
N01,安溪,112,收支餘絀表,維護費,收支,51581.0,40666.0,10915.0,0.2684060394432696,53728.75,37362.90607340387,65907.66666666667,-0.05748348363964221
N01,安溪,113,收支餘絀表,維護費,收支,106064.0,51581.0,54483.0,1.0562610263469108,64195.8,39934.76857576615,66103.66666666667,1.048414739666405
N01,安溪,109,收支餘絀表,行政管理費,收支,124680.0,,,,124680.0,,124680.0,
N01,安溪,110,收支餘絀表,行政管理費,收支,124680.0,124680.0,0.0,0.0,124680.0,0.0,124680.0,
N01,安溪,111,收支餘絀表,行政管理費,收支,293292.0,124680.0,168612.0,1.3523580365736285,180884.0,97348.18358860118,180884.0,1.1547005383792515
N01,安溪,112,收支餘絀表,行政管理費,收支,325932.0,293292.0,32640.0,0.111288408821243,217146.0,107598.83739148857,247968.0,1.0110332289575958
N01,安溪,113,收支餘絀表,行政管理費,收支,290580.0,325932.0,-35352.0,-0.10846434225543979,231832.8,98801.02644810933,303268.0,0.5946011100487327
N01,安溪,109,收支餘絀表,雜支,收支,15364.0,,,,15364.0,,15364.0,
N01,安溪,110,收支餘絀表,雜支,收支,22118.0,15364.0,6754.0,0.43959906274407706,18741.0,4775.799200133942,18741.0,0.7071067811865476
N01,安溪,111,收支餘絀表,雜支,收支,21679.0,22118.0,-439.0,-0.01984808753051813,19720.333333333332,3779.075327819404,19720.333333333332,0.5182925707376292
N01,安溪,112,收支餘絀表,雜支,收支,18950.0,21679.0,-2729.0,-0.12588219013792148,19527.75,3109.5487748760806,20915.666666666668,-0.1857986614225159
N01,安溪,113,收支餘絀表,雜支,收支,20662.0,18950.0,1712.0,0.09034300791556728,19754.6,2740.305603395359,20430.333333333332,0.33113095082376687
N01,安溪,110,現金流量表,其他應付款,非收支,-160097.0,,,,-160097.0,,-160097.0,
N01,安溪,111,現金流量表,其他應付款,非收支,526555.0,-160097.0,686652.0,4.28897480902203,183229.0,485536.28551530524,183229.0,0.7071067811865475
N01,安溪,112,現金流量表,其他應付款,非收支,112818.0,526555.0,-413737.0,-0.7857431797248151,159758.66666666666,345724.3293671033,159758.66666666666,-0.13577484336320245
N01,安溪,113,現金流量表,其他應付款,非收支,-137000.0,112818.0,-249818.0,-2.2143452285982734,85569.0,318904.3239562612,167457.66666666666,-0.6979177868736771
N01,安溪,110,現金流量表,其他應收款,非收支,456.0,,,,456.0,,456.0,
N01,安溪,111,現金流量表,其他應收款,非收支,,456.0,,,456.0,,456.0,
N01,安溪,112,現金流量表,其他流動負債,非收支,1542.0,,,,1542.0,,1542.0,
N01,安溪,113,現金流量表,其他流動負債,非收支,1533.0,1542.0,-9.0,-0.005836575875486381,1537.5,6.363961030678928,1537.5,-0.7071067811865476
N01,安溪,110,現金流量表,其他流動資產,非收支,-2716.0,,,,-2716.0,,-2716.0,
N01,安溪,111,現金流量表,其他流動資產,非收支,-10225.0,-2716.0,-7509.0,-2.7647275405007363,-6470.5,5309.664819929785,-6470.5,-0.7071067811865476
N01,安溪,112,現金流量表,其他流動資產,非收支,35254.0,-10225.0,45479.0,4.4478239608801955,7437.666666666667,24380.47518678283,7437.666666666667,1.140926627566847
N01,安溪,113,現金流量表,其他流動資產,非收支,,35254.0,,,7437.666666666667,24380.47518678283,12514.5,
N01,安溪,110,現金流量表,應付票據,非收支,17087.0,,,,17087.0,,17087.0,
N01,安溪,111,現金流量表,應付票據,非收支,766.0,17087.0,-16321.0,-0.9551705975302862,8926.5,11540.689775745643,8926.5,-0.7071067811865475
N01,安溪,112,現金流量表,應付票據,非收支,-17853.0,766.0,-18619.0,-24.306788511749346,0.0,17482.59039730669,0.0,-1.021187340907465
N01,安溪,113,現金流量表,應付票據,非收支,17684.0,-17853.0,35537.0,1.9905338038424916,4421.0,16791.116957089744,199.0,0.789881937806403
N01,安溪,110,現金流量表,應收帳款淨額,非收支,36720.0,,,,36720.0,,36720.0,
N01,安溪,111,現金流量表,應收帳款淨額,非收支,-51242.0,36720.0,-87962.0,-2.395479302832244,-7261.0,62198.52668673109,-7261.0,-0.7071067811865476
N01,安溪,112,現金流量表,應收帳款淨額,非收支,34121.0,-51242.0,85363.0,1.6658795519300573,6533.0,50051.49017761609,6533.0,0.5511923801289305
N01,安溪,113,現金流量表,應收帳款淨額,非收支,-2979.0,34121.0,-37100.0,-1.0873069370768735,4155.0,41142.68645417636,-6700.0,-0.1733965527007008
N01,安溪,113,現金流量表,投資活動之淨現金流人,非收支,,,,,,,,
N01,安溪,110,現金流量表,投資活動之淨現金流入,非收支,,,,,,,,
N01,安溪,111,現金流量表,投資活動之淨現金流入,非收支,,,,,,,,
N01,安溪,112,現金流量表,投資活動之淨現金流入,非收支,,,,,,,,
N01,安溪,110,現金流量表,投資活動之現金流量：,非收支,,,,,,,,
N01,安溪,111,現金流量表,投資活動之現金流量：,非收支,,,,,,,,
N01,安溪,112,現金流量表,投資活動之現金流量：,非收支,,,,,,,,
N01,安溪,113,現金流量表,投資活動之現金流量：,非收支,,,,,,,,
N01,安溪,110,現金流量表,期初現金及約當現金餘額,非收支,5348001.0,,,,5348001.0,,5348001.0,
N01,安溪,111,現金流量表,期初現金及約當現金餘額,非收支,5803751.0,5348001.0,455750.0,0.08521875743852703,5575876.0,322263.91552576906,5575876.0,0.7071067811865475
N01,安溪,112,現金流量表,期初現金及約當現金餘額,非收支,8824150.0,5803751.0,3020399.0,0.5204218788848798,6658634.0,1889185.4528650702,6658634.0,1.1462696776093935
N01,安溪,113,現金流量表,期初現金及約當現金餘額,非收支,9654314.0,8824150.0,830164.0,0.09407863646923499,7407554.0,2150086.614335494,8094071.666666667,1.0449625540757035
N01,安溪,110,現金流量表,期末現金及約當現金餘額,非收支,5803751.0,,,,5803751.0,,5803751.0,
N01,安溪,111,現金流量表,期末現金及約當現金餘額,非收支,8824150.0,5803751.0,3020399.0,0.5204218788848798,7313950.5,2135744.614789067,7313950.5,0.7071067811865476
N01,安溪,112,現金流量表,期末現金及約當現金餘額,非收支,9654314.0,8824150.0,830164.0,0.09407863646923499,8094071.666666667,2026442.6056131797,8094071.666666667,0.7699415364696305
N01,安溪,113,現金流量表,期末現金及約當現金餘額,非收支,8868744.0,9654314.0,-785570.0,-0.0813698415029799,8287739.75,1699316.2532533244,9115736.0,0.34190472131816135
N01,安溪,110,現金流量表,本期現金及約當現金增加數,非收支,455750.0,,,,455750.0,,455750.0,
N01,安溪,111,現金流量表,本期現金及約當現金增加數,非收支,3020399.0,455750.0,2564649.0,5.627315414152496,1738074.5,1813480.699263298,1738074.5,0.7071067811865475
N01,安溪,112,現金流量表,本期現金及約當現金增加數,非收支,830164.0,3020399.0,-2190235.0,-0.725147571562565,1435437.6666666667,1385324.2515636308,1435437.6666666667,-0.4369184080791827
N01,安溪,113,現金流量表,本期現金及約當現金（減少）增加數,非收支,-785570.0,,,,-785570.0,,-785570.0,
N01,安溪,110,現金流量表,本期稅前餘絀,非收支,218557.0,,,,218557.0,,218557.0,
N01,安溪,111,現金流量表,本期稅前餘絀,非收支,649872.0,218557.0,431315.0,1.9734668759179528,434214.5,304985.7613274757,434214.5,0.7071067811865476
N01,安溪,112,現金流量表,本期稅前餘絀,非收支,250799.0,649872.0,-399073.0,-0.6140793879410099,373076.0,240253.83629195185,373076.0,-0.5089492092497176
N01,安溪,113,現金流量表,本期稅前餘絀,非收支,,250799.0,,,373076.0,240253.83629195185,450335.5,
N01,安溪,113,現金流量表,業務發展準備淨變動,非收支,2200000.0,,,,2200000.0,,2200000.0,
N01,安溪,110,現金流量表,營業活動之淨現金流入,非收支,455750.0,,,,455750.0,,455750.0,
N01,安溪,111,現金流量表,營業活動之淨現金流入,非收支,3020399.0,455750.0,2564649.0,5.627315414152496,1738074.5,1813480.699263298,1738074.5,0.7071067811865475
N01,安溪,112,現金流量表,營業活動之淨現金流入,非收支,830164.0,3020399.0,-2190235.0,-0.725147571562565,1435437.6666666667,1385324.2515636308,1435437.6666666667,-0.4369184080791827
N01,安溪,113,現金流量表,營業活動之淨現金流（出）入,非收支,-785570.0,,,,-785570.0,,-785570.0,
N01,安溪,110,現金流量表,營業活動之現金流量：,非收支,,,,,,,,
N01,安溪,111,現金流量表,營業活動之現金流量：,非收支,,,,,,,,
N01,安溪,112,現金流量表,營業活動之現金流量：,非收支,,,,,,,,
N01,安溪,113,現金流量表,營業活動之現金流量：,非收支,,,,,,,,
N01,安溪,113,現金流量表,籌資活動之淨現金流人,非收支,,,,,,,,
N01,安溪,110,現金流量表,籌資活動之淨現金流入,非收支,,,,,,,,
N01,安溪,111,現金流量表,籌資活動之淨現金流入,非收支,,,,,,,,
N01,安溪,112,現金流量表,籌資活動之淨現金流入,非收支,,,,,,,,
N01,安溪,110,現金流量表,籌資活動之現金流量：,非收支,,,,,,,,
N01,安溪,111,現金流量表,籌資活動之現金流量：,非收支,,,,,,,,
N01,安溪,112,現金流量表,籌資活動之現金流量：,非收支,,,,,,,,
N01,安溪,113,現金流量表,籌資活動之現金流量：,非收支,,,,,,,,
N01,安溪,110,現金流量表,調整項目：,非收支,,,,,,,,
N01,安溪,111,現金流量表,調整項目：,非收支,,,,,,,,
N01,安溪,112,現金流量表,調整項目：,非收支,,,,,,,,
N01,安溪,113,現金流量表,調整項目：,非收支,,,,,,,,
N01,安溪,111,現金流量表,資產/負債淨變動數,非收支,,,,,,,,
N01,安溪,110,現金流量表,資產／負債淨變動數,非收支,,,,,,,,
N01,安溪,112,現金流量表,資產／負債淨變動數,非收支,,,,,,,,
N01,安溪,113,現金流量表,資產／負債淨變動數,非收支,,,,,,,,
N01,安溪,110,現金流量表,預付款項,非收支,-95007.0,,,,-95007.0,,-95007.0,
N01,安溪,111,現金流量表,預付款項,非收支,184567.0,-95007.0,279574.0,2.942667382403402,44780.0,197688.67124344784,44780.0,0.7071067811865476
N01,安溪,112,現金流量表,預付款項,非收支,4952.0,184567.0,-179615.0,-0.9731696348751402,31504.0,141665.66943688228,31504.0,-0.1874272017034443
N01,安溪,113,現金流量表,預付款項,非收支,6867.0,4952.0,1915.0,0.3867124394184168,25344.75,116323.62918563306,65462.0,-0.15884777778479212
N01,安溪,110,現金流量表,預收款項,非收支,440750.0,,,,440750.0,,440750.0,
N01,安溪,111,現金流量表,預收款項,非收支,1720106.0,440750.0,1279356.0,2.9026795235394216,1080428.0,904641.3031516967,1080428.0,0.7071067811865476
N01,安溪,112,現金流量表,預收款項,非收支,408531.0,1720106.0,-1311575.0,-0.7624966135807909,856462.3333333334,748110.8228199438,856462.3333333334,-0.5987499708196871
N01,安溪,113,現金流量表,預收款項,非收支,-882904.0,408531.0,-1291435.0,-3.161167695964321,421620.75,1062761.5031277009,415244.3333333333,-1.2274858904474724
N01,安溪,110,資產負債表,代管財產,非收支,1119608.0,,,,1119608.0,,1119608.0,
N01,安溪,111,資產負債表,代管財產,非收支,2577702.0,1119608.0,1458094.0,1.3023254567670113,1848655.0,1031028.1550074178,1848655.0,0.7071067811865476
N01,安溪,112,資產負債表,代管財產,非收支,3030018.0,2577702.0,452316.0,0.17547257208164482,2242442.6666666665,998356.5031917874,2242442.6666666665,0.7888718416872352
N01,安溪,113,資產負債表,代管財產,非收支,2572979.0,3030018.0,-457039.0,-0.15083705773365041,2325076.75,831739.565743739,2726899.6666666665,0.29805273214137235
N01,安溪,110,資產負債表,其他應付款,非收支,1423915.0,,,,1423915.0,,1423915.0,
N01,安溪,111,資產負債表,其他應付款,非收支,1950470.0,1423915.0,526555.0,0.3697938430313607,1687192.5,372330.6111676825,1687192.5,0.7071067811865476
N01,安溪,112,資產負債表,其他應付款,非收支,2063288.0,1950470.0,112818.0,0.057841443344424676,1812557.6666666667,341268.68746829574,1812557.6666666667,0.7347006700010424
