園代碼,園名,學年度,資料表,指標,數值,資料類別
N01,安溪,113,附表三,保全-決算數,24000.0,非收支
N01,安溪,112,附表三,保險費-執行率,100.0,非收支
N01,安溪,113,附表三,保險費-執行率,100.0,非收支
N01,安溪,112,附表三,保險費-決算數,17987.0,非收支
N01,安溪,113,附表三,保險費-決算數,17924.0,非收支
N01,安溪,112,附表三,修繕費-執行率,32.0,非收支
N01,安溪,113,附表三,修繕費-執行率,86.0,非收支
N01,安溪,112,附表三,修繕費-決算數,34700.0,非收支
N01,安溪,113,附表三,修繕費-決算數,94839.0,非收支
N01,安溪,110,附表三,修繕購置費-執行率,100.0,非收支
N01,安溪,111,附表三,修繕購置費-執行率,30.0,非收支
N01,安溪,112,附表三,修繕購置費-執行率,15.0,非收支
N01,安溪,113,附表三,修繕購置費-執行率,77.0,非收支
N01,安溪,110,附表三,修繕購置費-決算數,125696.0,非收支
N01,安溪,111,附表三,修繕購置費-決算數,58005.0,非收支
N01,安溪,112,附表三,修繕購置費-決算數,28074.0,非收支
N01,安溪,113,附表三,修繕購置費-決算數,128643.0,非收支
N01,安溪,112,附表三,健康檢查-執行率,100.0,非收支
N01,安溪,113,附表三,健康檢查-執行率,,非收支
N01,安溪,112,附表三,健康檢查-決算數,2000.0,非收支
N01,安溪,113,附表三,健康檢查-決算數,,非收支
N01,安溪,110,附表三,其他支出-執行率,,非收支
N01,安溪,111,附表三,其他支出-執行率,,非收支
N01,安溪,112,附表三,其他支出-執行率,,非收支
N01,安溪,113,附表三,其他支出-執行率,,非收支
N01,安溪,110,附表三,其他支出-決算數,1086035.0,非收支
N01,安溪,111,附表三,其他支出-決算數,801623.0,非收支
N01,安溪,112,附表三,其他支出-決算數,1344392.0,非收支
N01,安溪,113,附表三,其他支出-決算數,1765262.0,非收支
N01,安溪,112,附表三,其他收入-執行率,,非收支
N01,安溪,113,附表三,其他收入-執行率,,非收支
N01,安溪,112,附表三,其他收入-決算數,1344392.0,非收支
N01,安溪,113,附表三,其他收入-決算數,1765262.0,非收支
N01,安溪,112,附表三,利息收入-執行率,,非收支
N01,安溪,113,附表三,利息收入-執行率,,非收支
N01,安溪,112,附表三,利息收入-決算數,82077.0,非收支
N01,安溪,113,附表三,利息收入-決算數,211286.0,非收支
N01,安溪,112,附表三,加班費-執行率,9.0,非收支
N01,安溪,113,附表三,加班費-執行率,9.0,非收支
N01,安溪,112,附表三,加班費-決算數,85581.0,非收支
N01,安溪,113,附表三,加班費-決算數,89809.0,非收支
N01,安溪,112,附表三,勞、健保費-執行率,82.0,非收支
N01,安溪,113,附表三,勞、健保費-執行率,81.0,非收支
N01,安溪,112,附表三,勞、健保費-決算數,1136332.0,非收支
N01,安溪,113,附表三,勞、健保費-決算數,1137506.0,非收支
N01,安溪,112,附表三,勞退金提撥-執行率,100.0,非收支
N01,安溪,113,附表三,勞退金提撥-執行率,102.0,非收支
N01,安溪,112,附表三,勞退金提撥-決算數,541789.0,非收支
